housing_median_age,total_rooms,population,households,median_income,median_house_value
41,880,322,126,8.3252,452600
21,7099,2401,1138,8.3014,358500
52,1467,496,177,7.2574,352100
52,1274,558,219,5.6431,341300
52,1627,565,259,3.8462,342200
52,919,413,193,4.0368,269700
52,2535,1094,514,3.6591,299200
52,3104,1157,647,3.12,241400
42,2555,1206,595,2.0804,226700
52,3549,1551,714,3.6912,261100
52,2202,910,402,3.2031,281500
52,3503,1504,734,3.2705,241800
52,2491,1098,468,3.075,213500
52,696,345,174,2.6736,191300
52,2643,1212,620,1.9167,159200
50,1120,697,264,2.125,140000
52,1966,793,331,2.775,152500
52,1228,648,303,2.1202,155500
50,2239,990,419,1.9911,158700
52,1503,690,275,2.6033,162900
40,751,409,166,1.3578,147500
42,1639,929,366,1.7135,159800
52,2436,1015,478,1.725,113900
52,1688,853,325,2.1806,99700
52,2224,1006,422,2.6,132600
41,535,317,119,2.4038,107500
49,1130,607,239,2.4597,93800
52,1898,1102,397,1.808,105500
50,2082,1131,473,1.6424,108900
52,729,395,155,1.6875,132000
49,1916,863,378,1.9274,122300
52,2153,1168,441,1.9615,115200
48,1922,1026,335,1.7969,110400
49,1655,754,329,1.375,104900
51,2665,1258,536,2.7303,109700
49,1215,570,264,1.4861,97200
48,1798,987,374,1.0972,104500
52,1511,901,403,1.4103,103900
52,1470,689,309,3.48,191400
52,2432,1377,696,2.5898,176000
52,1665,946,395,2.0978,155400
51,936,517,249,1.2852,150000
49,713,462,189,1.025,118800
52,950,467,198,3.9643,188800
52,1443,660,292,3.0125,184400
52,1656,718,382,2.6768,182300
50,1125,616,304,2.026,142500
43,1007,558,253,1.7348,137500
40,624,423,160,0.9506,187500
40,946,700,352,1.775,112500
21,896,735,438,0.9218,171900
43,1868,1061,407,1.5045,93800
41,3221,1959,720,1.1108,97500
52,1630,1162,400,1.2475,104200
52,1170,701,233,1.6098,87500
52,945,576,220,1.4113,83100
52,1238,622,259,1.5057,87500
52,1489,728,244,0.8172,85300
52,1387,1074,304,1.2171,80300
2,158,94,57,2.5625,60000
52,1121,554,187,3.3929,75700
49,135,86,23,6.1183,75000
50,760,377,122,0.9011,86100
52,1224,521,159,1.191,76100
48,828,392,133,2.5938,73500
52,1010,604,187,1.1667,78400
48,1455,788,332,0.8056,84400
52,1027,492,147,2.6094,81300
52,572,274,82,1.8516,85000
46,2801,1823,611,0.9802,129200
26,768,392,127,1.7719,82500
46,935,582,277,0.7286,95200
49,844,560,152,1.75,75000
46,12,18,7,0.4999,67500
20,835,290,133,2.483,137500
17,1237,762,439,0.9241,177500
36,2914,1236,509,2.4464,102100
19,1207,721,207,1.1111,108300
23,1745,1054,325,0.8026,112500
38,684,344,155,2.0114,131300
17,924,609,289,1.5,162500
52,210,183,56,1.1667,112500
52,340,200,87,1.5208,112500
52,386,346,155,0.8075,137500
35,948,467,169,1.8088,118800
52,773,377,115,2.4083,98200
40,880,582,380,0.977,118800
10,875,546,330,0.76,162500
10,105,125,39,0.9722,137500
52,249,396,85,1.2434,500001
16,994,800,362,2.0938,162500
52,215,904,88,0.8668,137500
52,96,191,34,0.75,162500
27,1055,718,302,2.6354,187500
39,1715,1327,467,1.8477,179200
36,5329,3469,2323,2.0096,130000
31,4596,2048,1180,2.8345,183800
29,335,202,91,2.0062,125000
22,3682,2024,1250,1.2185,170000
37,3633,1838,980,2.6104,193100
29,4656,2304,1250,2.4912,257800
28,5806,2563,1497,3.2177,273400
39,854,389,228,3.125,237500
52,2155,895,613,2.5795,350000
34,5871,2689,1789,2.8406,335700
52,1509,674,244,4.9306,313400
52,2026,709,456,3.2727,268500
52,1758,686,422,3.1691,259400
52,3481,1444,718,3.9,275700
28,3337,1520,802,3.9063,225000
52,1424,550,253,5.0917,262500
32,3809,1806,1022,2.6429,218500
26,3959,1749,1217,3.0233,255000
52,2376,939,519,3.1484,224100
35,1613,675,422,3.4722,243100
52,1279,534,291,3.1429,231600
28,5022,2558,1661,2.4234,218500
52,4190,1786,1037,3.0897,234100
50,2515,970,373,5.8596,327600
47,3175,1098,485,5.2868,347600
41,2576,794,376,5.956,366100
37,334,98,47,4.9643,335000
