id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,Female,23,1,15,0,< 1 Year,Yes,36917,152,221,1
2,Female,25,1,28,1,< 1 Year,No,52071,152,222,0
3,Female,49,1,28,0,1-2 Year,No,41754,26,203,0
4,Male,48,1,28,0,> 2 Years,Yes,38744,26,19,1
5,Female,24,1,8,0,< 1 Year,No,51390,152,262,0
6,Male,65,1,41,1,1-2 Year,No,21669,122,151,0
7,Female,39,1,28,0,1-2 Year,No,64781,26,122,0
8,Male,40,1,20,0,1-2 Year,Yes,2630,157,173,1
9,Male,68,1,8,0,1-2 Year,Yes,45600,124,36,0
10,Female,23,1,8,1,< 1 Year,No,27734,160,172,0
11,Female,48,1,28,0,1-2 Year,Yes,41771,124,25,0
12,Male,24,1,29,1,< 1 Year,No,57061,152,41,0
13,Female,74,1,35,1,1-2 Year,No,32041,26,149,0
14,Female,22,1,8,1,< 1 Year,No,39371,152,299,0
15,Male,43,1,28,0,1-2 Year,Yes,28086,124,149,0
16,Male,20,1,8,0,< 1 Year,Yes,39117,160,86,0
17,Male,58,1,38,0,1-2 Year,Yes,26588,124,148,0
18,Female,21,1,46,1,< 1 Year,No,34827,160,163,0
19,Male,24,1,6,1,< 1 Year,No,18562,152,278,0
20,Male,22,1,8,1,< 1 Year,No,51263,152,272,0
21,Female,27,1,34,0,< 1 Year,Yes,36668,152,181,0
22,Male,40,1,28,1,1-2 Year,No,2630,124,267,0
23,Male,25,1,36,1,< 1 Year,No,31086,152,258,0
24,Female,52,1,48,0,1-2 Year,No,2630,26,247,0
25,Female,36,1,28,0,1-2 Year,Yes,71428,26,129,1
26,Female,22,1,33,1,< 1 Year,No,23915,152,33,0
27,Female,22,1,3,1,< 1 Year,No,24384,152,233,0
28,Male,28,1,39,0,< 1 Year,Yes,42785,156,222,0
29,Female,22,1,7,0,1-2 Year,Yes,48915,156,94,0
30,Female,65,1,28,0,> 2 Years,Yes,43701,124,183,0
31,Female,27,1,8,1,< 1 Year,No,31059,152,47,0
32,Female,20,1,48,0,1-2 Year,Yes,2630,156,137,0
33,Male,45,1,28,0,1-2 Year,Yes,33604,26,247,1
34,Male,30,1,8,1,< 1 Year,No,2630,152,172,0
35,Female,77,1,28,0,1-2 Year,Yes,31154,157,248,0
36,Male,24,1,47,1,< 1 Year,No,28435,152,138,0
37,Female,79,1,31,0,> 2 Years,Yes,2630,26,173,0
38,Female,23,1,12,1,< 1 Year,No,31322,152,46,0
39,Female,29,1,28,1,< 1 Year,No,22851,153,240,0
40,Male,29,1,3,0,1-2 Year,Yes,2630,124,186,0
41,Female,24,1,13,1,< 1 Year,No,2630,151,179,0
42,Female,35,1,28,1,1-2 Year,No,2630,124,51,0
43,Male,22,1,30,1,< 1 Year,No,2630,152,59,0
44,Male,21,1,10,0,< 1 Year,Yes,30016,152,49,0
45,Male,46,1,28,0,> 2 Years,Yes,85447,154,257,0
46,Male,21,1,8,0,< 1 Year,Yes,35338,152,75,0
47,Male,80,1,28,0,1-2 Year,Yes,28568,26,199,0
48,Male,49,1,23,0,1-2 Year,No,27229,26,122,0
49,Male,59,1,11,0,1-2 Year,Yes,27230,120,88,0
50,Male,64,1,28,0,1-2 Year,Yes,40309,25,158,0
51,Female,25,1,8,1,< 1 Year,No,42282,152,159,0
52,Male,43,1,8,0,1-2 Year,No,37683,26,222,0
53,Male,42,1,28,1,1-2 Year,No,36249,26,201,0
54,Male,47,1,6,0,1-2 Year,Yes,2630,156,285,1
55,Male,22,1,50,1,< 1 Year,No,2630,152,122,0
56,Male,47,1,28,0,1-2 Year,Yes,42815,26,293,1
57,Female,61,1,28,0,1-2 Year,Yes,2630,156,144,0
58,Male,43,1,19,1,1-2 Year,No,41031,124,45,0
59,Female,25,1,15,0,< 1 Year,Yes,26538,152,129,0
60,Female,58,1,29,0,1-2 Year,Yes,32446,26,245,0
61,Female,45,1,15,0,> 2 Years,Yes,34569,124,32,1
62,Female,24,1,28,0,< 1 Year,Yes,2630,26,42,0
63,Male,43,1,19,0,1-2 Year,Yes,38944,124,298,0
64,Female,33,1,28,1,< 1 Year,No,28580,152,282,0
65,Female,20,1,43,1,< 1 Year,No,29353,160,89,0
66,Female,30,1,28,1,< 1 Year,Yes,32446,152,199,0
67,Male,37,1,28,1,1-2 Year,No,54295,26,75,0
68,Female,26,1,44,1,< 1 Year,No,2630,152,298,0
69,Male,26,1,28,1,< 1 Year,No,59627,152,211,0
70,Male,48,1,28,1,1-2 Year,No,33319,26,265,0
71,Female,72,1,28,0,1-2 Year,Yes,31412,124,261,0
72,Female,35,1,15,0,1-2 Year,Yes,35168,124,278,1
73,Male,29,1,30,1,< 1 Year,No,25932,152,169,0
74,Male,53,1,19,0,1-2 Year,Yes,36139,124,156,1
75,Male,37,1,5,0,1-2 Year,Yes,37845,152,153,0
76,Female,22,1,46,1,< 1 Year,No,43579,152,219,0
77,Female,21,1,46,0,< 1 Year,Yes,26495,160,145,0
78,Female,63,1,28,0,1-2 Year,Yes,49741,26,106,0
79,Male,55,1,28,0,> 2 Years,Yes,55703,26,212,0
80,Male,32,1,11,0,1-2 Year,Yes,26472,31,38,0
81,Male,23,1,2,1,< 1 Year,No,30293,26,240,0
82,Female,29,1,33,1,< 1 Year,No,32974,152,227,0
83,Female,25,1,28,1,< 1 Year,No,37456,152,297,0
84,Female,53,1,28,0,1-2 Year,Yes,36274,152,66,0
85,Female,42,1,28,1,1-2 Year,No,42672,125,83,0
86,Male,30,1,9,1,1-2 Year,No,23999,26,216,0
87,Female,33,1,50,1,< 1 Year,No,48875,152,169,0
88,Female,22,1,46,1,< 1 Year,No,27528,152,109,0
89,Female,47,1,28,0,> 2 Years,Yes,59426,26,187,0
90,Female,48,1,48,0,1-2 Year,No,2630,118,89,0
91,Female,70,1,28,0,1-2 Year,Yes,28985,124,74,0
92,Female,22,1,47,1,< 1 Year,No,29222,152,84,0
93,Female,23,1,37,0,< 1 Year,Yes,47455,152,129,0
94,Female,26,1,15,1,< 1 Year,No,38187,152,108,0
95,Male,23,1,3,1,< 1 Year,No,35235,152,185,0
96,Male,25,1,33,1,< 1 Year,No,48428,151,70,0
97,Male,24,1,7,0,< 1 Year,Yes,64132,152,54,0
98,Male,60,1,28,1,1-2 Year,No,42882,13,54,0
99,Male,30,1,50,1,< 1 Year,No,2630,152,50,0
100,Male,55,1,28,0,1-2 Year,Yes,29622,124,262,1
101,Male,27,1,45,0,< 1 Year,Yes,28392,26,115,1
102,Female,28,1,28,0,1-2 Year,Yes,44395,24,289,0
103,Male,36,1,31,0,1-2 Year,Yes,2630,124,178,1
104,Female,39,1,29,0,1-2 Year,Yes,29996,124,84,0
105,Male,27,1,8,1,< 1 Year,No,25662,152,272,0
106,Male,27,1,15,0,< 1 Year,Yes,2630,152,113,0
107,Female,43,1,28,0,1-2 Year,Yes,26315,124,193,0
108,Male,65,1,41,0,> 2 Years,Yes,47508,124,110,0
109,Male,29,1,28,1,< 1 Year,No,44311,152,232,0
110,Female,27,1,33,1,< 1 Year,No,37408,152,116,0
111,Female,64,1,8,0,1-2 Year,Yes,2630,3,180,0
112,Female,78,1,8,0,1-2 Year,Yes,2630,25,248,0
113,Female,40,1,41,0,1-2 Year,Yes,49105,12,146,0
114,Male,36,1,43,0,1-2 Year,Yes,34253,156,238,0
115,Male,76,1,8,1,1-2 Year,No,51248,7,196,0
116,Female,41,1,41,0,1-2 Year,No,2630,124,184,0
117,Female,27,1,18,1,< 1 Year,No,38302,152,267,0
118,Male,46,1,28,1,1-2 Year,No,35817,25,36,0
119,Male,48,1,28,0,1-2 Year,Yes,47870,156,242,1
120,Male,25,1,30,1,< 1 Year,No,25761,152,57,0
121,Male,35,1,35,0,1-2 Year,Yes,34326,124,278,1
122,Male,55,1,3,0,1-2 Year,Yes,2630,124,103,1
123,Female,70,1,46,0,1-2 Year,Yes,33756,11,47,0
124,Female,64,1,29,1,1-2 Year,No,30211,152,41,0
125,Female,61,1,47,0,1-2 Year,Yes,32956,124,286,1
126,Female,48,1,26,1,1-2 Year,No,28250,26,260,0
127,Male,40,1,3,0,1-2 Year,Yes,35432,154,92,0
128,Male,52,1,28,0,1-2 Year,Yes,28917,26,239,0
129,Female,25,1,3,1,< 1 Year,No,36020,152,37,0
130,Female,40,1,28,0,1-2 Year,Yes,30633,124,134,1
131,Female,32,1,35,1,< 1 Year,No,25577,152,262,0
132,Male,22,1,22,0,< 1 Year,No,2630,160,252,0
133,Male,23,1,29,1,< 1 Year,No,26921,152,187,0
134,Female,56,1,28,0,> 2 Years,Yes,46970,122,197,0
135,Male,23,1,46,1,< 1 Year,No,2630,152,186,0
136,Male,30,1,33,1,1-2 Year,No,29179,26,256,0
137,Male,30,1,28,0,1-2 Year,Yes,39191,26,239,0
138,Female,20,1,45,0,< 1 Year,Yes,24249,160,204,0
139,Female,25,1,28,1,< 1 Year,No,40971,152,142,0
140,Female,21,1,8,1,< 1 Year,Yes,46320,152,73,0
141,Female,44,1,28,0,1-2 Year,Yes,43965,45,84,1
142,Female,30,1,33,1,< 1 Year,No,30437,152,52,0
143,Male,21,1,6,0,< 1 Year,Yes,23300,152,195,0
144,Female,48,1,28,0,1-2 Year,Yes,47857,26,33,1
145,Male,25,1,32,0,< 1 Year,Yes,24506,152,229,0
146,Male,27,1,28,1,< 1 Year,No,69879,152,41,0
147,Male,43,1,46,0,1-2 Year,Yes,34706,26,53,0
148,Female,36,1,38,0,1-2 Year,Yes,39119,124,100,0
149,Male,20,1,47,0,< 1 Year,Yes,47489,160,93,0
150,Male,53,1,23,0,1-2 Year,Yes,2630,26,187,1
151,Female,44,1,46,1,1-2 Year,No,45089,124,18,0
152,Female,44,1,33,0,1-2 Year,Yes,35855,132,234,0
153,Female,22,1,44,0,< 1 Year,Yes,2630,160,36,0
