건물코드,기온,강수량,풍속,습도,전력소비량
CM,30.5,,4.1,84.0,1279.08
DR,26.1,,2.7,99.0,2268.6
CY,19.8,0.0,2.4,100.0,1214.28
BS,22.6,0.4,1.8,95.0,3561.12
BN,32.2,,1.1,63.0,3352.8
BD,22.6,,0.3,77.0,706.8
AK,27.3,,1.5,75.0,2351.04
DT,28.6,,1.1,52.0,1639.08
AX,20.4,0.0,0.7,71.0,7793.4
CM,22.8,,0.6,99.0,308.16
CE,26.3,1.0,2.3,78.0,2989.8
AU,24.1,0.0,0.4,80.0,3193.46
BN,28.1,,2.3,96.0,673.8
DA,22.7,,1.3,81.0,2281.92
AZ,28.9,,1.4,40.0,3175.2
AP,27.0,,2.4,77.0,2495.52
DN,24.6,,0.0,95.0,550.8
AN,26.5,,2.8,39.0,1638.72
AV,21.7,,0.2,99.0,914.76
CB,22.3,0.5,2.6,99.0,1530.0
AT,26.4,0.1,2.4,85.0,1009.44
BP,22.2,,0.0,87.0,355.68
CR,25.6,0.3,0.6,93.0,4087.67
BV,27.2,,4.4,82.0,1870.2
BW,26.2,1.0,0.2,99.0,3084.12
CD,17.0,0.0,1.2,82.0,3994.56
BS,29.2,0.0,4.0,78.0,2710.08
CW,27.7,,2.1,76.0,1926.0
DF,27.1,0.4,2.9,98.0,1346.4
DD,24.5,0.7,5.4,97.0,1613.52
AG,22.5,0.8,2.0,97.0,1007.76
AK,26.0,,0.6,86.0,2313.36
AQ,28.5,,2.2,67.0,1431.0
BW,25.0,,3.4,97.0,2529.36
CE,23.2,,2.2,80.0,1464.48
BR,27.9,,1.7,67.0,3410.4
AG,27.5,,3.7,93.0,1080.0
AQ,23.2,,3.8,87.0,589.5
BM,25.1,,2.6,91.0,1377.12
AV,21.2,,0.0,100.0,887.4
CR,26.3,,2.5,81.0,3227.1
DU,32.6,,3.3,36.0,1512.72
BJ,29.2,,4.4,56.0,2906.16
AD,23.3,8.6,4.0,99.0,766.98
AF,23.1,0.5,0.5,97.0,1598.4
CX,24.8,,0.8,76.0,1132.56
AF,30.0,,0.8,74.0,1815.36
DB,27.7,0.1,3.9,86.0,1668.96
CQ,29.1,,1.7,71.0,4714.2
BR,25.2,,0.8,100.0,629.28
AP,29.1,,3.6,76.0,5052.48
AQ,26.4,,2.0,76.0,1522.8
DI,23.1,,0.2,100.0,525.96
BH,27.7,0.0,3.2,88.0,3511.08
BH,31.0,,2.6,66.0,3475.44
DC,32.5,,3.0,54.0,2435.76
CA,23.4,3.6,1.2,95.0,2993.28
