Id,LotFrontage,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,KitchenQual,Fireplaces,GarageCars,GarageArea,SalePrice
0,64,BrkSide,3,1935,2003,TA,0,0,27,52169.82592
1,88,ClearCr,6,1968,1968,TA,1,2,549,156971.3626
2,,Sawyer,5,1961,1961,TA,0,2,759,123374.4966
3,73,Somerst,7,2006,2006,Gd,0,2,641,197036.9519
4,66,Edwards,5,1910,1996,TA,0,0,27,81062.33038
5,,NoRidge,6,1990,1991,Gd,2,2,500,276191.0472
6,90,Mitchel,7,1988,1989,TA,0,3,793,171189.0564
7,73,NridgHt,9,2008,2008,Ex,1,3,1079,367388.5651
8,,Somerst,7,2002,2002,TA,1,2,496,211129.7023
9,68,IDOTRR,5,1910,2004,TA,0,1,417,109400.4301
10,,NWAmes,6,1967,1967,TA,0,2,562,192902.6514
11,65,OldTown,6,1915,1950,TA,0,2,603,148180.1662
12,58,IDOTRR,6,1926,1950,TA,0,2,533,143914.1017
13,85,NAmes,4,1959,1959,TA,0,0,27,128995.9018
14,99,CollgCr,9,2008,2008,Ex,2,3,1375,353320.2689
15,106,NoRidge,8,1998,1999,Gd,1,3,703,336035.9639
16,38,Somerst,7,2007,2007,Gd,0,2,567,146612.7594
17,,SawyerW,6,1994,1994,Gd,0,2,499,151767.481
18,68,CollgCr,4,1994,1995,TA,0,0,27,123630.8315
19,,Gilbert,7,2002,2003,Gd,1,2,427,193841.6201
20,73,Edwards,6,1976,1976,TA,1,2,507,148451.3223
21,68,Edwards,4,1940,1950,TA,1,1,323,108119.9179
22,78,NAmes,5,1956,1956,TA,0,1,331,122315.3524
23,,Veenker,7,1974,2003,Gd,2,2,545,294215.711
24,29,BrDale,6,1971,1971,TA,0,0,27,91544.69231
25,68,SawyerW,4,1950,1950,TA,0,1,321,82078.49214
26,53,StoneBr,8,1997,1997,Gd,1,2,555,252766.8491
27,58,BrkSide,6,1939,1950,TA,0,1,267,112617.8647
28,68,Edwards,5,1924,1950,TA,0,1,419,104968.7613
29,84,NridgHt,8,2004,2005,Gd,1,3,879,317107.7539
30,73,NAmes,4,1920,1994,TA,0,2,703,105340.6755
31,87,Somerst,7,2007,2007,Ex,1,3,813,312034.8205
32,96,CollgCr,7,2002,2002,Gd,1,2,557,221067.4802
33,98,SawyerW,7,1990,1991,Gd,1,3,728,272074.3698
34,,NAmes,4,1972,1972,TA,0,2,603,111250.4868
35,63,SWISU,5,1911,1950,TA,0,0,27,130399.966
36,,BrkSide,6,1916,1994,Gd,0,2,468,214557.9067
37,108,NAmes,6,1964,1964,TA,0,2,499,167067.863
38,75,Edwards,4,1910,2000,TA,0,2,555,113590.8337
39,59,Gilbert,6,2005,2005,Gd,0,2,427,176304.4967
40,83,Somerst,8,2006,2007,Gd,1,2,719,222125.6681
41,75,Edwards,5,1925,1950,TA,0,0,27,98390.29513
42,78,NAmes,5,1961,1961,TA,0,1,315,130051.1642
43,67,OldTown,6,1910,2003,Gd,0,1,282,117149.4097
44,93,NAmes,5,1940,1996,TA,0,2,539,126593.9209
45,108,Somerst,9,2006,2006,Ex,1,3,819,386010.2751
46,98,NridgHt,9,2005,2005,Ex,1,3,757,287597.5265
47,29,BrDale,5,1971,1971,TA,0,1,307,112001.414
48,83,NAmes,6,1964,1964,TA,0,2,531,145031.6647
49,65,Crawfor,6,1928,1950,TA,1,2,369,177042.6071
50,82,NAmes,5,1956,2000,TA,0,1,335,129087.1668
51,,ClearCr,6,1958,2006,Gd,2,2,416,277174.1046
52,68,OldTown,5,1895,1999,Gd,0,0,27,132804.7253
53,,NAmes,5,1960,2000,Gd,0,1,291,149802.586
54,58,BrkSide,5,1941,2006,Gd,0,1,267,119196.7961
55,,NAmes,5,1956,1956,TA,1,2,603,163014.6818
56,157,Timber,6,1958,1995,Gd,1,2,488,221918.9193
57,108,Mitchel,5,1954,1954,TA,0,2,547,113307.4414
58,84,OldTown,4,1949,2002,TA,1,1,411,116279.8511
59,138,NridgHt,8,2001,2002,Gd,1,3,773,352968.2658
60,,CollgCr,6,2003,2004,Gd,0,2,447,144123.757
61,64,Edwards,5,1922,1950,TA,0,0,27,99974.42809
62,,Gilbert,7,1994,1996,Gd,1,2,436,194621.6856
63,108,ClearCr,5,1959,1959,TA,2,1,392,158033.6181
64,51,Blmngtn,8,2004,2005,Gd,1,2,457,192049.5387
65,65,IDOTRR,7,1930,1950,Gd,1,1,307,139402.1315
66,38,OldTown,5,1925,2004,TA,0,2,531,73038.84824
67,88,NWAmes,7,1974,1974,TA,1,2,525,199430.9476
68,102,OldTown,5,1925,1975,TA,1,3,1035,200657.2446
69,58,NAmes,6,1947,1950,TA,0,2,676,133807.3936
70,68,NAmes,6,1952,1952,TA,0,2,437,125471.1337
71,88,NAmes,6,1953,1953,TA,2,2,445,167367.1169
72,33,Somerst,7,2004,2005,Gd,1,2,533,230227.9707
73,98,NAmes,7,1969,1969,TA,1,2,533,197812.4997
74,,NAmes,5,1959,1959,TA,0,1,321,106630.7128
75,58,SWISU,5,1936,1950,TA,0,1,207,79085.64984
76,108,Veenker,7,1974,1974,Gd,4,2,577,246975.7541
77,115,NridgHt,9,2008,2009,Ex,1,3,1047,582964.6761
78,71,SawyerW,7,2006,2006,Gd,0,0,27,143471.131
79,68,OldTown,5,1920,1950,Gd,0,2,603,98789.17954
80,115,NridgHt,9,2007,2007,Ex,2,3,959,417460.0995
81,,SawyerW,6,1986,1986,TA,0,2,492,165350.1902
82,84,Mitchel,6,1977,1977,TA,1,1,385,171243.85
83,51,Blmngtn,7,2006,2006,Gd,0,2,464,163313.4828
84,32,Edwards,7,2004,2004,Gd,0,2,407,137535.1298
85,75,Edwards,5,1910,1950,TA,0,0,27,85000.88721
86,,Crawfor,7,1939,2006,Gd,2,2,458,311506.5771
87,,Gilbert,6,2000,2000,TA,1,2,458,196660.0986
88,98,Veenker,5,1976,2004,Gd,1,2,555,218111.0852
89,74,Somerst,7,1997,1998,Gd,1,2,603,239292.1907
90,29,BrDale,6,1973,1973,TA,0,1,291,83018.31655
91,88,Gilbert,6,2004,2004,Gd,1,2,420,172327.5446
92,,Mitchel,7,1975,1975,TA,0,1,387,144162.0841
93,86,Edwards,5,1962,1962,TA,1,2,555,180064.2749
94,113,CollgCr,6,1995,1995,Gd,0,2,548,177552.3051
95,118,NridgHt,9,2003,2003,Ex,1,3,913,407050.1634
96,,SawyerW,7,1993,2003,Gd,0,2,484,194632.6633
97,80,Edwards,6,1976,1976,TA,1,1,379,125058.7509
98,88,NAmes,5,1959,1959,TA,0,1,315,129580.1495
99,56,NridgHt,8,2006,2006,Gd,1,2,577,254079.9648
100,86,CollgCr,7,2005,2005,Gd,0,2,687,260039.9998
101,68,NAmes,6,1934,1950,TA,1,1,267,127308.2657
102,56,NridgHt,9,2005,2005,Ex,1,2,583,269524.7304
103,48,Crawfor,5,1913,2002,Gd,1,1,379,90510.20064
104,56,NridgHt,7,2003,2003,Gd,1,2,505,208341.9747
105,80,Somerst,7,2007,2008,Gd,0,2,556,250701.43
106,68,SWISU,5,1937,1950,Gd,2,1,267,175069.2452
107,103,CollgCr,7,2002,2002,Gd,0,2,519,200192.1291
108,65,NAmes,5,1953,1953,TA,0,1,267,110206.771
109,,NAmes,6,1964,1964,TA,1,2,457,183018.1193
110,58,SawyerW,6,1984,1984,TA,0,1,291,125243.9902
111,42,NridgHt,6,2005,2005,Gd,1,2,651,196054.1793
112,73,SawyerW,7,2005,2005,Gd,0,2,489,189292.8536
113,,CollgCr,7,2001,2001,Gd,0,2,635,205286.1017
114,73,SawyerW,7,2000,2001,TA,0,2,566,179214.2886
115,77,SWISU,6,1920,1950,TA,0,1,243,141555.6268
116,112,NoRidge,10,1994,1995,Ex,2,3,859,755318.2522
117,,Gilbert,6,1950,1950,TA,1,2,765,174107.2764
118,59,BrkSide,4,1946,1950,TA,0,1,332,121606.2095
119,84,SawyerW,7,2004,2004,Gd,0,2,645,233386.8555
120,68,OldTown,5,1952,1952,TA,0,2,427,124639.69
121,63,CollgCr,5,1976,1976,TA,0,2,603,132562.5519
122,,Sawyer,5,1959,1959,TA,0,0,27,80368.63979
